Date,daily_ic,decile_spread,stocks,year,rolling_ic_63
2024-08-15,-0.20371016732259695,-0.038713854570444683,499,2024,-0.012065290266898303
2024-08-16,-0.20090726030373998,-0.046387055776800815,499,2024,-0.016735673680503098
2024-08-19,-0.20729265760436535,-0.042718537994631114,499,2024,-0.021284121120420225
2024-08-20,-0.19154530748243476,-0.041696082441400065,499,2024,-0.026440923920895913
2024-08-21,-0.18764227249680082,-0.04330561647021717,499,2024,-0.030986674822201295
2024-08-22,-0.05765207523480695,-0.02615100787132473,499,2024,-0.033653010361898016
2024-08-23,-0.05878861337132096,-0.017254583715387337,499,2024,-0.03582890086924662
2024-08-26,-0.07221372866214357,-0.01188954656367219,499,2024,-0.03700559274985236
2024-08-27,0.03155921481517251,0.013899147320681572,499,2024,-0.036819798326812356
2024-08-28,-0.003845570659391071,0.0041275690659260495,499,2024,-0.03768435704838631
2024-08-29,0.1577925972426781,0.037889532902676326,499,2024,-0.036564474905059687
2024-08-30,0.11966583769949536,0.01892337667995513,499,2024,-0.03640422018257207
2024-09-03,0.14397479295941276,0.021853518823429972,499,2024,-0.03645911367581214
2024-09-04,0.2887938769104474,0.05643598096165062,499,2024,-0.03448558773695795
2024-09-05,0.3567037689837506,0.09107950286568414,499,2024,-0.03208456614893585
2024-09-06,0.38541169085158267,0.08045250244240862,499,2024,-0.027641165674243882
2024-09-09,0.4252247144892194,0.1198628185292346,499,2024,-0.0234430582335066
2024-09-10,0.448137431489485,0.1114760412448906,499,2024,-0.018105878615138096
2024-09-11,0.46166801072023556,0.13800597664623998,499,2024,-0.012150678101278099
2024-09-12,0.3876471014317792,0.09861544693988866,499,2024,-0.006919393194497622
2024-09-13,0.4233824757949634,0.10357725482911875,499,2024,-0.00017801907122717687
2024-09-16,0.462586570731825,0.1288110549395044,499,2024,0.005236052521949614
2024-09-17,0.4636501919501653,0.11311462460210871,499,2024,0.010115285073876953
2024-09-18,0.2655203418885964,0.05859912991249688,499,2024,0.013998490766194844
2024-09-19,0.12741241519182941,0.026184633603700453,499,2024,0.016387432351794805
2024-09-20,0.12084892676920103,0.022567711563642186,499,2024,0.019140077056005293
2024-09-23,0.09815563657435353,0.008810398436415243,499,2024,0.020688451295400128
2024-09-24,0.0651368278726127,0.014541042796530106,499,2024,0.021434323993176633
2024-09-25,0.08217582152256318,0.015431594051116014,499,2024,0.024022091994277323
2024-09-26,-0.1180983654055098,-0.024253435756343134,499,2024,0.02379324340016809
2024-09-27,-0.054360576574836415,-0.007561197571771483,499,2024,0.024135306758094496
2024-09-30,0.08710819228819083,0.021721424435741776,499,2024,0.027719513994521838
