period,model,sessions,positions,mean_short_raw_return,short_raw_hac_p,mean_short_alpha,short_alpha_hac_p,absolute_decline_hit_rate,underperformance_hit_rate,mean_baseline_overlap,paired_short_raw_lift,paired_short_raw_lift_hac_p,paired_short_alpha_lift,paired_short_alpha_lift_hac_p
2025,direct_deepseek,250,12472,-4.398794406595874e-05,0.99272476892957,0.013356923885268483,0.10119467122531361,0.5239737010904426,0.611529826812059,0.9934171428571429,-6.113760417776542e-05,0.2835252546911827,-6.113760417776483e-05,0.28352525469118695
2025,fulltext_distilled,250,12472,-0.005538804747514251,0.2252650060218764,0.007862107081820193,0.21338630563434557,0.4798749198203977,0.5827453495830661,0.33424,-0.005555954407626056,0.08423038354582,-0.005555954407626054,0.08423038354581992
2026,quant_structured,119,5950,-0.006945432722193748,0.46406527394958796,0.007619291840365082,0.6441708326208124,0.4542857142857143,0.5477310924369748,1.0,0.0,1.0,0.0,1.0
2026,deterministic,119,5950,-0.011027683442622066,0.15091597059451883,0.0035370411199367653,0.8140787549151183,0.4329411764705882,0.5085714285714286,0.3650420168067226,-0.0040822507204283185,0.35548493096524336,-0.004082250720428315,0.3554849309652439
2026,direct_deepseek,119,5950,-0.006824996381826595,0.4763461652431873,0.007739728180732232,0.6402199753216604,0.45579831932773107,0.5490756302521008,0.992436974789916,0.00012043634036715163,0.28116623121635315,0.00012043634036715159,0.2811662312163529
2026,fulltext_distilled,119,5950,-0.011022555314546378,0.1510576478093888,0.0035421692480124525,0.8137993688353304,0.4329411764705882,0.5087394957983193,0.3648739495798318,-0.004077122592352632,0.3557785100151919,-0.004077122592352628,0.35577851001519223
2023-2024,quant_structured,502,24598,-0.00764662757646449,0.14383116727130962,0.010023557237767008,0.019018638337583712,0.44836978616147655,0.5771200910643142,1.0,0.0,1.0,0.0,1.0
2023-2024,deterministic,502,24598,-0.011687908020873017,0.04425232052279681,0.005982276793358483,0.15414155064584056,0.42779900804943494,0.5571591186275306,0.3992194487356696,-0.004041280444408527,0.014551800523789085,-0.004041280444408525,0.014551800523789061
2023-2024,direct_deepseek,502,24598,-0.00768933054963803,0.14219851134394965,0.00998085426459347,0.01968016799652992,0.44832913244979267,0.5769168225058948,0.9949182860395154,-4.2702973173539494e-05,0.16050332824347574,-4.270297317353951e-05,0.16050332824347605
2023-2024,fulltext_distilled,502,24598,-0.011686455602799472,0.044266871539704225,0.005983729211432028,0.1539702781898857,0.42775835433775106,0.5571591186275306,0.39917879502398573,-0.004039828026334979,0.014620563958196877,-0.004039828026334978,0.014620563958196867
2025-2026,quant_structured,369,18422,-0.0022282359862143748,0.6375246963662782,0.011547997564674815,0.138468428126774,0.5018456193681468,0.5910867441103029,1.0,0.0,1.0,0.0,1.0
2025-2026,deterministic,369,18422,-0.007308930939161486,0.06814069898325464,0.006467302611727705,0.3160716936069274,0.46471610031484095,0.5587884051677342,0.34417344173441733,-0.005080694952947112,0.06467077982658066,-0.0050806949529471086,0.0646707798265807
2025-2026,direct_deepseek,369,18422,-0.0022308172234521803,0.6382021628323193,0.011545416327437009,0.13956551807270715,0.5019541852133319,0.5913581587232657,0.9931010452961672,-2.581237237805718e-06,0.9639986112705738,-2.5812372378053134e-06,0.9639986112705794
2025-2026,fulltext_distilled,369,18422,-0.007307277152600492,0.0681865792930894,0.0064689563982886986,0.3159247990979979,0.46471610031484095,0.5588426880903268,0.3441192411924119,-0.005079041166386118,0.06471360294344126,-0.0050790411663861135,0.06471360294344136
